batch,parent,phase,name,start_time,end_time,duration,duration_string
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 12 - flatfiles and db statistics,prepare document statistics,2023-10-13T18:18:26.132000,2023-10-13T23:03:26.132000,17100.0,4 hr 45 min
2023-10-14_xf230641_xfrun_build5,start db fabrication,step 13 - move to Glacier,refresh lifecycle policy for old build artifacts,2023-10-13T23:03:26.132000,2023-10-13T23:05:13.132000,107.0,1 min 47 sec
2023-10-19_xf230651_xfrun_build6,,complete,db fabrication,2023-10-15T23:12:57.449000,2023-10-19T05:18:40.270000,281142.821,3 day 6 hr 5 min 42.8 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 1 - download fab packages,install fabrication package,2023-10-15T23:12:57.449000,2023-10-15T23:13:05.249000,7.8,7.8 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 1 - download fab packages,install STN package,2023-10-15T23:12:57.449000,2023-10-15T23:12:57.869000,0.42,0.42 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 1a - download pat sight data,fetch patent sight data,2023-10-15T23:13:05.249000,2023-10-15T23:13:06.239000,0.99,0.99 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 2 - delete old fabrication relicts,remove old databases and logfiles,2023-10-15T23:13:06.239000,2023-10-15T23:13:10.039000,3.8,3.8 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 3 - try to remove unused disks,check for disk shrink potential,2023-10-15T23:13:10.039000,2023-10-15T23:13:10.429000,0.39,0.39 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 4 - check previous db,check previous db,2023-10-15T23:13:10.429000,2023-10-15T23:13:11.249000,0.82,0.82 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 5 - prepare environment,update further files,2023-10-15T23:13:11.249000,2023-10-15T23:13:43.249000,32.0,32 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 5 - prepare environment,roll out compound taxonomy,2023-10-15T23:13:11.249000,2023-10-15T23:13:21.249000,10.0,10 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 5 - prepare environment,copy db export to fabrication instance,2023-10-15T23:13:11.249000,2023-10-15T23:18:46.249000,335.0,5 min 35 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 6 - check for potentially missing availability and phpend,check for missing availability and phpend files,2023-10-15T23:18:46.249000,2023-10-15T23:20:47.249000,121.0,2 min 1 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 7a - xfire db fabrication init,xfire db fabrication init,2023-10-15T23:20:47.249000,2023-10-15T23:21:17.249000,30.0,30 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 7b - build xfire db data  merge,xfire db fabrication data merge,2023-10-15T23:21:17.249000,2023-10-17T10:21:17.249000,126000.0,1 day 11 hr
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication summus,2023-10-17T10:21:17.249000,2023-10-18T19:21:17.249000,118800.0,1 day 9 hr
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication wrapper structure search,2023-10-17T10:21:17.249000,2023-10-17T22:21:17.249000,43200.0,12 hr
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 8 - create db package,create db package (mkpack),2023-10-18T19:21:17.249000,2023-10-18T20:19:17.249000,3480.0,58 min
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 9 - report xf finish,report xf fab finish,2023-10-18T20:19:17.249000,2023-10-18T20:19:19.249000,2.0,2 sec
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 10 - start database test,start database testing,2023-10-18T20:19:19.249000,2023-10-18T22:55:19.249000,9360.0,2 hr 36 min
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 11 - start next export,prepare start next export,2023-10-18T22:55:19.249000,2023-10-18T22:55:19.249000,0.0,15 ms
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 12 - flatfiles and db statistics,create STN,2023-10-18T22:55:19.249000,2023-10-19T00:58:19.249000,7380.0,2 hr 3 min
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 12 - flatfiles and db statistics,prepare document statistics,2023-10-18T22:55:19.249000,2023-10-19T03:50:19.249000,17700.0,4 hr 55 min
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 12 - flatfiles and db statistics,prepare patent substance statistics,2023-10-18T22:55:19.249000,2023-10-19T01:32:19.249000,9420.0,2 hr 37 min
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 12 - flatfiles and db statistics,prepare database record statistics,2023-10-18T22:55:19.249000,2023-10-19T02:47:19.249000,13920.0,3 hr 52 min
2023-10-19_xf230651_xfrun_build6,start db fabrication,step 13 - move to Glacier,refresh lifecycle policy for old build artifacts,2023-10-19T03:50:19.249000,2023-10-19T03:52:03.249000,104.0,1 min 44 sec
2023-10-24_xf230661_xfrun_build7,,complete,db fabrication,2023-10-21T08:35:29.144000,2023-10-24T16:36:52.558000,288083.414,3 day 8 hr 1 min 23.4 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 1 - download fab packages,install fabrication package,2023-10-21T08:35:29.144000,2023-10-21T08:35:37.644000,8.5,8.5 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 1 - download fab packages,install STN package,2023-10-21T08:35:29.144000,2023-10-21T08:35:29.674000,0.53,0.53 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 1a - download pat sight data,fetch patent sight data,2023-10-21T08:35:37.644000,2023-10-21T08:35:38.644000,1.0,1 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 2 - delete old fabrication relicts,remove old databases and logfiles,2023-10-21T08:35:38.644000,2023-10-21T08:35:42.644000,4.0,4 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 3 - try to remove unused disks,check for disk shrink potential,2023-10-21T08:35:42.644000,2023-10-21T08:35:43.024000,0.38,0.38 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 4 - check previous db,check previous db,2023-10-21T08:35:43.024000,2023-10-21T08:35:43.924000,0.9,0.9 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 5 - prepare environment,copy db export to fabrication instance,2023-10-21T08:35:43.924000,2023-10-21T08:41:28.924000,345.0,5 min 45 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 5 - prepare environment,roll out compound taxonomy,2023-10-21T08:35:43.924000,2023-10-21T08:35:53.924000,10.0,10 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 5 - prepare environment,update further files,2023-10-21T08:35:43.924000,2023-10-21T08:36:16.924000,33.0,33 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 6 - check for potentially missing availability and phpend,check for missing availability and phpend files,2023-10-21T08:41:28.924000,2023-10-21T08:43:29.924000,121.0,2 min 1 sec
